"Ecozone","Agriculture","Forestry","Reservoir","Oil/Gas","Settlement","Road","Mine","Power","Trail","Railway","Canal","Border"
"Arctic Cordillera","0","0","0","0","0","5","0","0","0","0","0","0"
"Northern Arctic","0","0","0","0","333","59","228","0","283","0","0","0"
"Southern Arctic","0","0","0","193","171","157","27","0","247","0","0","0"
"Taiga Plains","0","4,254","0","34,196","81","694","35","0","38","0","0","0"
"Taiga Shield","0","0","33,150","24","540","305","21","454","55","8","0","0"
"Boreal Shield","20,438","316,272","45,237","774","14,665","6,763","3,927","2,891","2,402","79","0","0"
"Atlantic Maritime","21,918","150,582","0","0","4,209","591","610","699","92","0","0","0"
"Mixedwood Plains","88,953","6,711","400","0","10,607","445","511","400","9","0","69","0"
"Boreal Plains","147,786","73,019","28,780","68,195","2,706","1,419","825","585","254","28","0","0"
"Prairies","441,915","1,600","3,765","4,400","8,000","0","800","0","400","0","0","0"
"Taiga Cordillera","0","0","0","461","0","101","72","0","29","0","0","4"
"Boreal Cordillera","43","866","0","557","331","807","918","186","336","2","0","3"
"Pacific Maritime","2,437","40,107","317","0","3,635","298","605","150","0","0","0","0"
"Montane Cordillera","14,661","131,186","3,011","345","4,409","1,057","1,300","509","61","16","0","15"
"Hudson Plains","0","210","1,972","8","370","141","79","216","14","0","0","0"
"Hectares","738,151","724,806","116,631","109,153","50,056","12,841","9,956","6,090","4,217","133","69","21"
"Arctic Cordillera","0.0%","0.0%","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Northern Arctic","0.0%","0.0%","0.0%","0.0%","36.9%","6.6%","25.2%","0.0%","31.3%","0.0%","0.0%","0.0%"
"Southern Arctic","0.0%","0.0%","0.0%","24.3%","21.5%","19.7%","3.3%","0.0%","31.1%","0.0%","0.0%","0.0%"
"Taiga Plains","0.0%","10.8%","0.0%","87.0%","0.2%","1.8%","0.1%","0.0%","0.1%","0.0%","0.0%","0.0%"
"Taiga Shield","0.0%","0.0%","95.9%","0.1%","1.6%","0.9%","0.1%","1.3%","0.2%","0.0%","0.0%","0.0%"
"Boreal Shield","4.9%","76.5%","10.9%","0.2%","3.5%","1.6%","0.9%","0.7%","0.6%","0.0%","0.0%","0.0%"
"Atlantic Maritime","12.3%","84.3%","0.0%","0.0%","2.4%","0.3%","0.3%","0.4%","0.1%","0.0%","0.0%","0.0%"
"Mixedwood Plains","82.3%","6.2%","0.4%","0.0%","9.8%","0.4%","0.5%","0.4%","0.0%","0.0%","0.1%","0.0%"
"Boreal Plains","45.7%","22.6%","8.9%","21.1%","0.8%","0.4%","0.3%","0.2%","0.1%","0.0%","0.0%","0.0%"
"Prairies","95.9%","0.3%","0.8%","1.0%","1.7%","0.0%","0.2%","0.0%","0.1%","0.0%","0.0%","0.0%"
"Taiga Cordillera","0.0%","0.0%","0.0%","69.3%","0.0%","15.1%","10.8%","0.0%","4.3%","0.0%","0.0%","0.5%"
"Boreal Cordillera","1.0%","21.4%","0.0%","13.8%","8.2%","19.9%","22.7%","4.6%","8.3%","0.0%","0.0%","0.1%"
"Pacific Maritime","5.1%","84.4%","0.7%","0.0%","7.6%","0.6%","1.3%","0.3%","0.0%","0.0%","0.0%","0.0%"
"Montane Cordillera","9.4%","83.8%","1.9%","0.2%","2.8%","0.7%","0.8%","0.3%","0.0%","0.0%","0.0%","0.0%"
"Hudson Plains","0.0%","7.0%","65.5%","0.3%","12.3%","4.7%","2.6%","7.2%","0.5%","0.0%","0.0%","0.0%"
"Total","41.7%","40.9%","6.6%","6.2%","2.8%","0.7%","0.6%","0.3%","0.2%","0.0%","0.0%","0.0%"
